# The daily noon exchange rates for major foreign currencies are published every business day at about 12:30
# p.m. EST. They are obtained from market or official sources around noon and show the rates for the
# various currencies in Canadian dollars converted from US dollars. The rates are nominal quotations -
# neither buying nor selling rates - and are intended for statistical or analytical purposes. Rates
# available from financial institutions will differ.
#
Date (<y>-<m>-<d>), ISO4217, 2016-12-07, 2016-12-08, 2016-12-09, 2016-12-12, 2016-12-13, 2016-12-14, 2016-12-15
U.S. dollar , USD_NOON, 1.3252, 1.3221, 1.3164, 1.3140, 1.3120, 1.3123, 1.3397
U.S. dollar (close), USD_CLOSE, 1.3237, 1.3191, 1.3180, 1.3134, 1.3133, 1.3274, 1.3347
US/Canada noon 3-month forward points spread, IEXE0124, -0.15, -0.15, -0.16, -0.16, -0.16, -0.16, -0.17
US/Canada noon 6-month forward points spread, IEXE0125, -0.29, -0.29, -0.30, -0.31, -0.31, -0.31, -0.33
Argentine peso, ARS_NOON, 0.08293, 0.08266, 0.08235, 0.08169, 0.08211, 0.08256, 0.08363
Australian dollar, AUD_NOON, 0.9911, 0.9847, 0.9795, 0.9837, 0.9831, 0.9857, 0.9837
Bahamian dollar, BSD_NOON, 1.3252, 1.3221, 1.3164, 1.3140, 1.3120, 1.3123, 1.3397
Brazilian real, BRL_NOON, 0.3900, 0.3913, 0.3914, 0.3922, 0.3937, 0.3936, 0.3942
CFA franc (African Financial Community), XAF_NOON, 0.002173, 0.002142, 0.002115, 0.002125, 0.002127, 0.002132, 0.002119
CFP franc (Pacific Financial Community), XPF_NOON, 0.01195, 0.01177, 0.01163, 0.01168, 0.01169, 0.01172, 0.01165
Chilean peso, CLP_NOON, 0.002022, 0.002019, 0.002020, 0.002026, 0.002016, 0.001999, 0.002010
Chinese renminbi, CNY_NOON, 0.1926, 0.1922, 0.1906, 0.1902, 0.1901, 0.1900, 0.1929
Colombian peso, COP_NOON, 0.000443, 0.000440, 0.000438, 0.000440, 0.000441, 0.000443, 0.000447
Croatian kuna, HRK_NOON, 0.1891, 0.1864, 0.1842, 0.1850, 0.1854, 0.1856, 0.1842
Czech Republic koruna, CZK_NOON, 0.05274, 0.05194, 0.05134, 0.05156, 0.05164, 0.05175, 0.05142
Danish krone, DKK_NOON, 0.1917, 0.1889, 0.1866, 0.1874, 0.1876, 0.1880, 0.1870
East Caribbean dollar, XCD_NOON, 0.4926, 0.4915, 0.4894, 0.4885, 0.4877, 0.4878, 0.4980
European Euro, EUR_NOON, 1.4257, 1.4049, 1.3875, 1.3937, 1.3952, 1.3983, 1.3898
